Type	Frequency	bleu	chrf	macrof	microf	macrobleu	microbleu
pageantry	1	99.99751	0.999973	99.98495	99.99573	99.98495	99.99573	
paddle	1	99.99329	0.999967	99.98495	99.99573	99.98274	99.99158	
paco	1	99.99329	0.999973	99.98495	99.99573	99.97963	99.98975	
pack	1	99.99329	0.999973	99.98495	99.99573	99.98188	99.99193	
pacific	1	99.99329	0.999964	99.98495	99.99573	99.97981	99.99122	
oysters	1	99.99329	0.999964	99.98495	99.99573	99.97427	99.99158	
oxygen	1	99.99402	0.999973	99.98495	99.99573	99.98431	99.99231	
owning	1	99.99329	0.999967	99.98495	99.99573	99.98257	99.99177	
overwhelming	1	99.99329	0.999949	99.98495	99.99573	99.98453	99.99224	
owe	1	99.99329	0.999985	99.98495	99.99573	99.98390	99.99056	
overstretched	1	99.99402	0.999946	99.98495	99.99573	99.98412	99.99272	
overslept	1	99.99402	0.999958	99.98495	99.99573	99.98358	99.99273	
overtime	1	99.99329	0.999961	99.98495	99.99573	99.98467	99.99228	
oversimplifying	1	99.99329	0.999940	99.98495	99.99573	99.98301	99.99097	
overpowering	1	99.99329	0.999949	99.98495	99.99573	99.98173	99.99180	
overkill	1	99.99544	0.999971	99.98495	99.99573	99.98460	99.99249	
outskirts	1	99.99329	0.999963	99.98495	99.99573	99.98252	99.99097	
outsiders	1	99.99329	0.999958	99.98495	99.99573	99.98476	99.99124	
outlets	1	99.99329	0.999964	99.98495	99.99573	99.98071	99.99193	
outdance	1	99.99329	0.999961	99.98495	99.99573	99.98239	99.99211	
outbreak	1	99.99329	0.999966	99.98495	99.99573	99.98311	99.99082	
outage	1	99.99329	0.999967	99.98495	99.99573	99.98346	99.99193	
oslo	1	99.99544	0.999979	99.98495	99.99573	99.98392	99.99350	
oscar	1	99.99329	0.999970	99.98495	99.99573	99.97960	99.99188	
ornamental	1	99.99329	0.999956	99.98495	99.99573	99.98349	99.99176	
originate	1	99.99329	0.999958	99.98495	99.99573	99.98165	99.99181	
ort	1	99.99329	0.999976	99.98495	99.99573	99.97956	99.99127	
originality	1	99.99329	0.999952	99.98495	99.99573	99.98014	99.99182	
original	1	99.99329	0.999961	99.98495	99.99573	99.98295	99.99184	
organizing	1	99.99329	0.999955	99.98495	99.99573	99.98243	99.99285	
organized	1	99.99402	0.999958	99.98495	99.99573	99.97961	99.99159	
organization	1	99.99329	0.999949	99.98495	99.99573	99.98267	99.99141	
organizational	1	99.99329	0.999943	99.98495	99.99573	99.98200	99.99181	
organisms	1	99.99329	0.999958	99.98495	99.99573	99.98381	99.99153	
organises	1	99.99329	0.999958	99.98495	99.99573	99.98390	99.99110	
organisations	1	99.99544	0.999956	99.98495	99.99573	99.98117	99.99233	
organised	1	99.99329	0.999958	99.98495	99.99573	99.98352	99.99145	
ordinary	1	99.99544	0.999971	99.98495	99.99573	99.98439	99.99218	
orders	1	99.99329	0.999967	99.98495	99.99573	99.97907	99.99150	
ordering	1	99.99402	0.999961	99.98495	99.99573	99.98388	99.99296	
option	1	99.99329	0.999972	99.98495	99.99573	99.98398	99.99178	
ordered	1	99.99329	0.999964	99.98495	99.99573	99.97910	99.99114	
opposition	1	99.99329	0.999955	99.98495	99.99573	99.98129	99.99130	
opposite	1	99.99329	0.999966	99.98495	99.99573	99.98282	99.99152	
opponents	1	99.99329	0.999958	99.98495	99.99573	99.98396	99.99156	
opposing	1	99.99329	0.999961	99.98495	99.99573	99.98447	99.99282	
opinion	1	99.99329	0.999969	99.98495	99.99573	99.97943	99.99168	
operating	1	99.99329	0.999958	99.98495	99.99573	99.97864	99.99143	
operated	1	99.99329	0.999961	99.98495	99.99573	99.98350	99.99187	
oÖ	1	99.99329	0.999979	99.98495	99.99573	99.98335	99.99146	
onwards	1	99.99544	0.999974	99.98495	99.99573	99.98475	99.99318	
onto	1	99.99329	0.999975	99.98495	99.99573	99.97978	99.99129	
onucka	1	99.99329	0.999967	99.98495	99.99573	99.98096	99.99194	
om	1	99.99329	0.999979	99.98495	99.99573	99.97535	99.99173	
olympique	1	99.99751	0.999973	99.98495	99.99573	99.98495	99.99573	
olds	1	99.99329	0.999973	99.98495	99.99573	99.98434	99.99098	
oldest	1	99.99329	0.999967	99.98495	99.99573	99.98324	99.99110	
olympia	1	99.99544	0.999974	99.98495	99.99573	99.98086	99.99239	
olchinger	1	99.99329	0.999958	99.98495	99.99573	99.98027	99.99122	
olaseni	1	99.99329	0.999964	99.98495	99.99573	99.97802	99.99149	
okay	1	99.99544	0.999983	99.98495	99.99573	99.98372	99.99289	
oil	1	99.99329	0.999981	99.98495	99.99573	99.97764	99.99148	
offensively	1	99.99751	0.999967	99.98495	99.99573	99.98495	99.99573	
offenders	1	99.99329	0.999958	99.98495	99.99573	99.98321	99.99086	
oelde	1	99.99329	0.999970	99.98495	99.99573	99.98014	99.99152	
offended	1	99.99329	0.999961	99.98495	99.99573	99.98440	99.99200	
oe24	1	99.99544	0.999983	99.98495	99.99573	99.98439	99.99250	
ofensive	1	99.99329	0.999973	99.98495	99.99573	99.98390	99.99104	
ocean	1	99.99544	0.999980	99.98495	99.99573	99.98412	99.99206	
occurs	1	99.99544	0.999977	99.98495	99.99573	99.98343	99.99253	
occured	1	99.99329	0.999964	99.98495	99.99573	99.98244	99.99162	
obstructions	1	99.99617	0.999949	99.98495	99.99573	99.98357	99.99369	
observers	1	99.99329	0.999958	99.98495	99.99573	99.98354	99.99214	
observed	1	99.99329	0.999961	99.98495	99.99573	99.98164	99.99120	
observation	1	99.99544	0.999962	99.98495	99.99573	99.98477	99.99319	
obrador	1	99.99329	0.999964	99.98495	99.99573	99.97755	99.99177	
oblivion	1	99.99751	0.999976	99.98495	99.99573	99.98495	99.99573	
obligatory	1	99.99329	0.999955	99.98495	99.99573	99.97952	99.99080	
obite	1	99.99544	0.999971	99.98495	99.99573	99.97704	99.99269	
oberschleißheim	1	99.99544	0.999950	99.98495	99.99573	99.98426	99.99343	
obernberg	1	99.99329	0.999958	99.98495	99.99573	99.98295	99.99232	
oberliga	1	99.99402	0.999961	99.98495	99.99573	99.98032	99.99221	
oasis	1	99.99402	0.999976	99.98495	99.99573	99.97999	99.99158	
Öamtc	1	99.99544	0.999973	99.98495	99.99573	99.98406	99.99389	
nzz	1	99.99329	0.999976	99.98495	99.99573	99.97931	99.99115	
nut	1	99.99402	0.999976	99.98495	99.99573	99.98309	99.99166	
nutrition	1	99.99329	0.999958	99.98495	99.99573	99.98145	99.99162	
numerical	1	99.99402	0.999958	99.98495	99.99573	99.98254	99.99247	
nuisance	1	99.99329	0.999961	99.98495	99.99573	99.98396	99.99159	
nowadays	1	99.99544	0.999971	99.98495	99.99573	99.98391	99.99272	
nottulner	1	99.99329	0.999958	99.98495	99.99573	99.98080	99.99198	
notorious	1	99.99329	0.999958	99.98495	99.99573	99.97708	99.99106	
notion	1	99.99329	0.999967	99.98495	99.99573	99.98443	99.99182	
noticed	1	99.99329	0.999964	99.98495	99.99573	99.98134	99.99165	
noticeable	1	99.99329	0.999955	99.98495	99.99573	99.98349	99.99197	
notice	1	99.99402	0.999967	99.98495	99.99573	99.98224	99.99202	
notes	1	99.99329	0.999970	99.98495	99.99573	99.97920	99.99163	
notably	1	99.99329	0.999964	99.98495	99.99573	99.98189	99.99120	
northwest	1	99.99329	0.999958	99.98495	99.99573	99.98385	99.99102	
notables	1	99.99329	0.999961	99.98495	99.99573	99.98142	99.99163	
normal	1	99.99329	0.999967	99.98495	99.99573	99.98348	99.99177	
nordhelle	1	99.99402	0.999958	99.98495	99.99573	99.98381	99.99136	
nordhalben	1	99.99544	0.999965	99.98495	99.99573	99.98310	99.99256	
nondescript	1	99.99402	0.999952	99.98495	99.99573	99.98474	99.99219	
nominee	1	99.99329	0.999964	99.98495	99.99573	99.97990	99.99158	
nkunku	1	99.99544	0.999967	99.98495	99.99573	99.97822	99.99272	
niklas	1	99.99329	0.999967	99.98495	99.99573	99.98255	99.99117	
nightlife	1	99.99329	0.999958	99.98495	99.99573	99.98300	99.99127	
nils	1	99.99402	0.999973	99.98495	99.99573	99.97967	99.99217	
nigerian	1	99.99751	0.999976	99.98495	99.99573	99.98495	99.99573	
nigerians	1	99.99329	0.999958	99.98495	99.99573	99.98220	99.99128	
niersbach	1	99.99329	0.999958	99.98495	99.99573	99.98240	99.99165	
nicknamed	1	99.99329	0.999967	99.98495	99.99573	99.98216	99.99140	
nickname	1	99.99329	0.999961	99.98495	99.99573	99.98447	99.99120	
nice	1	99.99329	0.999973	99.98495	99.99573	99.98108	99.99189	
neutrality	1	99.99617	0.999965	99.98495	99.99573	99.98463	99.99431	
neutral	1	99.99402	0.999970	99.98495	99.99573	99.98428	99.99157	
neuer	1	99.99544	0.999980	99.98495	99.99573	99.98305	99.99262	
neubauer	1	99.99329	0.999961	99.98495	99.99573	99.97898	99.99124	
neu	1	99.99329	0.999976	99.98495	99.99573	99.98327	99.99136	
network	1	99.99402	0.999964	99.98495	99.99573	99.98035	99.99123	
nets	1	99.99329	0.999973	99.98495	99.99573	99.98131	99.99186	
netting	1	99.99544	0.999974	99.98495	99.99573	99.98407	99.99210	
netherlands	1	99.99329	0.999952	99.98495	99.99573	99.98399	99.99117	
net	1	99.99329	0.999976	99.98495	99.99573	99.98446	99.99036	
nervousness	1	99.99329	0.999952	99.98495	99.99573	99.98339	99.99149	
nerve	1	99.99329	0.999970	99.98495	99.99573	99.97998	99.99159	
neither	1	99.99329	0.999964	99.98495	99.99573	99.98424	99.99186	
negros	1	99.99329	0.999972	99.98495	99.99573	99.97930	99.99145	
negotiated	1	99.99329	0.999955	99.98495	99.99573	99.98470	99.99163	
needing	1	99.99329	0.999964	99.98495	99.99573	99.98180	99.99136	
negative	1	99.99329	0.999966	99.98495	99.99573	99.98027	99.99123	
neckarsulm	1	99.99544	0.999965	99.98495	99.99573	99.98426	99.99356	
nearby	1	99.99329	0.999967	99.98495	99.99573	99.97852	99.99212	
neck	1	99.99329	0.999973	99.98495	99.99573	99.98268	99.99248	
ndr	1	99.99329	0.999976	99.98495	99.99573	99.98323	99.99171	
nba	1	99.99329	0.999976	99.98495	99.99573	99.98263	99.99143	
nave	1	99.99329	0.999973	99.98495	99.99573	99.98282	99.99161	
navarro	1	99.99329	0.999964	99.98495	99.99573	99.97712	99.99127	
natural	1	99.99329	0.999964	99.98495	99.99573	99.98002	99.99130	
natten	1	99.99329	0.999967	99.98495	99.99573	99.97704	99.99150	
nation	1	99.99329	0.999972	99.98495	99.99573	99.98387	99.99097	
narrowed	1	99.99329	0.999961	99.98495	99.99573	99.97786	99.99115	
não	1	99.99329	0.999976	99.98495	99.99573	99.98001	99.99129	
nao	1	99.99544	0.999979	99.98495	99.99573	99.98251	99.99350	
nannerl	1	99.99329	0.999964	99.98495	99.99573	99.98375	99.99241	
naming	1	99.99402	0.999979	99.98495	99.99573	99.98153	99.99168	
naked	1	99.99329	0.999970	99.98495	99.99573	99.98183	99.99133	
nacional	1	99.99329	0.999961	99.98495	99.99573	99.97882	99.99174	
naive	1	99.99329	0.999970	99.98495	99.99573	99.98325	99.99159	
nacht	1	99.99329	0.999970	99.98495	99.99573	99.98005	99.99177	
nachrichten	1	99.99751	0.999967	99.98495	99.99573	99.98495	99.99573	
n.	1	99.99329	0.999979	99.98495	99.99573	99.98137	99.99196	
n	1	99.99329	0.999982	99.98495	99.99573	99.97756	99.99040	
mysterious	1	99.99329	0.999960	99.98495	99.99573	99.98463	99.99174	
mygym	1	99.99329	0.999970	99.98495	99.99573	99.98020	99.99107	
mutual	1	99.99329	0.999967	99.98495	99.99573	99.98295	99.99133	
muslija	1	99.99329	0.999964	99.98495	99.99573	99.97903	99.99149	
musically	1	99.99329	0.999958	99.98495	99.99573	99.97838	99.99145	
musicality	1	99.99329	0.999955	99.98495	99.99573	99.98469	99.99183	
museum	1	99.99329	0.999967	99.98495	99.99573	99.97849	99.99178	
mused	1	99.99329	0.999970	99.98495	99.99573	99.98374	99.99146	
münsterblickstrasse	1	99.99329	0.999928	99.98495	99.99573	99.98306	99.99169	
muscular	1	99.99329	0.999961	99.98495	99.99573	99.98228	99.99201	
münchener	1	99.99751	0.999973	99.98495	99.99573	99.98495	99.99573	
multipurpose	1	99.99402	0.999949	99.98495	99.99573	99.98288	99.99133	
mühlen	1	99.99329	0.999967	99.98495	99.99573	99.97807	99.99180	
ms.	1	99.99751	0.999991	99.98495	99.99573	99.98495	99.99573	
movies	1	99.99544	0.999977	99.98495	99.99573	99.98492	99.99215	
mouths	1	99.99329	0.999967	99.98495	99.99573	99.97573	99.99142	
mountains	1	99.99329	0.999958	99.98495	99.99573	99.98455	99.99102	
motivation	1	99.99329	0.999955	99.98495	99.99573	99.98271	99.99107	
motorist	1	99.99329	0.999961	99.98495	99.99573	99.98249	99.99152	
motifs	1	99.99329	0.999967	99.98495	99.99573	99.98220	99.99158	
motivated	1	99.99329	0.999958	99.98495	99.99573	99.98391	99.99166	
moser	1	99.99329	0.999979	99.98495	99.99573	99.98220	99.98964	
moscow	1	99.99544	0.999977	99.98495	99.99573	99.98477	99.99360	
mortensen	1	99.99329	0.999958	99.98495	99.99573	99.98008	99.99178	
morlaixplatz	1	99.99544	0.999952	99.98495	99.99573	99.98283	99.99312	
moritz	1	99.99329	0.999967	99.98495	99.99573	99.97941	99.99170	
moormann	1	99.99329	0.999961	99.98495	99.99573	99.97987	99.99164	
moons	1	99.99329	0.999970	99.98495	99.99573	99.98381	99.99189	
monoculture	1	99.99329	0.999952	99.98495	99.99573	99.98430	99.99211	
monitoring	1	99.99329	0.999955	99.98495	99.99573	99.98138	99.99130	
monitor	1	99.99329	0.999969	99.98495	99.99573	99.98359	99.99156	
money	1	99.99329	0.999970	99.98495	99.99573	99.97858	99.99107	
monchengladbach	1	99.99329	0.999940	99.98495	99.99573	99.98297	99.99144	
monarchy	1	99.99329	0.999961	99.98495	99.99573	99.98050	99.99171	
molds	1	99.99402	0.999970	99.98495	99.99573	99.98202	99.99253	
moles	1	99.99329	0.999970	99.98495	99.99573	99.98292	99.99165	
modernization	1	99.99329	0.999946	99.98495	99.99573	99.98250	99.99166	
moderator	1	99.99751	0.999973	99.98495	99.99573	99.98495	99.99573	
mockery	1	99.99329	0.999964	99.98495	99.99573	99.98286	99.99129	
mladenovic	1	99.99544	0.999965	99.98495	99.99573	99.97985	99.99232	
mixture	1	99.99544	0.999972	99.98495	99.99573	99.98419	99.99327	
mix	1	99.99329	0.999976	99.98495	99.99573	99.98262	99.99169	
mitteldeutscher	1	99.99402	0.999943	99.98495	99.99573	99.97913	99.99137	
mistook	1	99.99329	0.999965	99.98495	99.99573	99.98287	99.99120	
mistaken	1	99.99329	0.999961	99.98495	99.99573	99.97978	99.99160	
mistake	1	99.99544	0.999965	99.98495	99.99573	99.98413	99.99369	
mission	1	99.99329	0.999964	99.98495	99.99573	99.98297	99.99153	
misogynist	1	99.99402	0.999955	99.98495	99.99573	99.97935	99.99111	
misconduct	1	99.99544	0.999965	99.98495	99.99573	99.98283	99.99260	
minus	1	99.99329	0.999970	99.98495	99.99573	99.98199	99.99140	
minor	1	99.99329	0.999970	99.98495	99.99573	99.97555	99.99179	
ministor	1	99.99402	0.999961	99.98495	99.99573	99.98443	99.99185	
minimum	1	99.99544	0.999974	99.98495	99.99573	99.98425	99.99308	
mineral	1	99.99329	0.999964	99.98495	99.99573	99.98005	99.99157	
militias	1	99.99329	0.999961	99.98495	99.99573	99.98198	99.99160	
milestone	1	99.99329	0.999958	99.98495	99.99573	99.98437	99.99196	
miles	1	99.99402	0.999970	99.98495	99.99573	99.98278	99.99164	
mike	1	99.99329	0.999978	99.98495	99.99573	99.98083	99.99176	
migrant	1	99.99329	0.999964	99.98495	99.99573	99.98430	99.99175	
midt	1	99.99329	0.999973	99.98495	99.99573	99.97702	99.99147	
midnight	1	99.99329	0.999966	99.98495	99.99573	99.98320	99.99175	
microphone	1	99.99544	0.999965	99.98495	99.99573	99.98369	99.99270	
mhp	1	99.99329	0.999976	99.98495	99.99573	99.97377	99.99165	
mey	1	99.99329	0.999976	99.98495	99.99573	99.98118	99.99151	
meter	1	99.99329	0.999970	99.98495	99.99573	99.98211	99.99152	
methods	1	99.99544	0.999974	99.98495	99.99573	99.98353	99.99262	
meteorology	1	99.99329	0.999952	99.98495	99.99573	99.98136	99.99167	
metaphor	1	99.99329	0.999961	99.98495	99.99573	99.98073	99.99131	
meteorologists	1	99.99329	0.999944	99.98495	99.99573	99.98468	99.99102	
messages	1	99.99329	0.999961	99.98495	99.99573	99.97954	99.99132	
mersch	1	99.99329	0.999967	99.98495	99.99573	99.98189	99.99140	
meşale	1	99.99329	0.999967	99.98495	99.99573	99.97590	99.99167	
merle	1	99.99329	0.999970	99.98495	99.99573	99.97888	99.99179	
merged	1	99.99329	0.999967	99.98495	99.99573	99.98052	99.99108	
melt	1	99.99544	0.999983	99.98495	99.99573	99.98449	99.99245	
melody	1	99.99329	0.999967	99.98495	99.99573	99.98209	99.99111	
megacity	1	99.99329	0.999961	99.98495	99.99573	99.98302	99.99102	
meis	1	99.99329	0.999973	99.98495	99.99573	99.98304	99.99201	
meierhenrich	1	99.99329	0.999949	99.98495	99.99573	99.97683	99.99137	
meg	1	99.99329	0.999976	99.98495	99.99573	99.97946	99.99187	
medalist	1	99.99329	0.999961	99.98495	99.99573	99.97999	99.99159	
meatloaf	1	99.99329	0.999961	99.98495	99.99573	99.98126	99.99187	
mecklenburg	1	99.99329	0.999952	99.98495	99.99573	99.98234	99.99126	
measure	1	99.99329	0.999964	99.98495	99.99573	99.98459	99.99234	
meantime	1	99.99402	0.999966	99.98495	99.99573	99.98384	99.99169	
meal	1	99.99544	0.999983	99.98495	99.99573	99.98481	99.99211	
mean	1	99.99329	0.999973	99.98495	99.99573	99.98126	99.99149	
meager	1	99.99329	0.999967	99.98495	99.99573	99.97955	99.99159	
meadow	1	99.99329	0.999967	99.98495	99.99573	99.98274	99.99162	
mdax	1	99.99402	0.999979	99.98495	99.99573	99.98377	99.99167	
maypole	1	99.99329	0.999969	99.98495	99.99573	99.98314	99.99116	
maybe	1	99.99329	0.999970	99.98495	99.99573	99.97990	99.99156	
matthäus	1	99.99329	0.999961	99.98495	99.99573	99.97961	99.99182	
maulwürfe	1	99.99329	0.999958	99.98495	99.99573	99.98366	99.99156	
matters	1	99.99329	0.999964	99.98495	99.99573	99.98182	99.99169	
mats	1	99.99329	0.999973	99.98495	99.99573	99.98112	99.99218	
materials	1	99.99329	0.999958	99.98495	99.99573	99.98047	99.99179	
material	1	99.99329	0.999961	99.98495	99.99573	99.98197	99.99200	
matching	1	99.99751	0.999976	99.98495	99.99573	99.98495	99.99573	
masters	1	99.99329	0.999964	99.98495	99.99573	99.98421	99.99121	
masterpiece	1	99.99329	0.999952	99.98495	99.99573	99.98189	99.99096	
mastered	1	99.99329	0.999961	99.98495	99.99573	99.98097	99.99107	
mast	1	99.99329	0.999978	99.98495	99.99573	99.98359	99.99229	
massimiliano	1	99.99329	0.999949	99.98495	99.99573	99.98112	99.99168	
maserati	1	99.99329	0.999961	99.98495	99.99573	99.98273	99.99157	
marxgründ	1	99.99329	0.999958	99.98495	99.99573	99.98314	99.99156	
marx	1	99.99329	0.999973	99.98495	99.99573	99.98331	99.99164	
martial	1	99.99329	0.999964	99.98495	99.99573	99.97565	99.99170	
marshalling	1	99.99329	0.999957	99.98495	99.99573	99.97939	99.99170	
marktallee	1	99.99544	0.999965	99.98495	99.99573	99.98362	99.99251	
marktalle	1	99.99329	0.999963	99.98495	99.99573	99.98017	99.99157	
markets	1	99.99329	0.999964	99.98495	99.99573	99.98258	99.99110	
marker	1	99.99329	0.999967	99.98495	99.99573	99.98485	99.99151	
markenbeck	1	99.99329	0.999955	99.98495	99.99573	99.97162	99.99116	
marked	1	99.99329	0.999967	99.98495	99.99573	99.98263	99.99193	
marius	1	99.99329	0.999967	99.98495	99.99573	99.98175	99.99189	
marita	1	99.99329	0.999967	99.98495	99.99573	99.97712	99.99134	
maria	1	99.99329	0.999970	99.98495	99.99573	99.98137	99.99159	
margrethe	1	99.99402	0.999961	99.98495	99.99573	99.97801	99.99160	
maren	1	99.99329	0.999970	99.98495	99.99573	99.98194	99.99150	
marching	1	99.99329	0.999961	99.98495	99.99573	99.98334	99.99242	
marches	1	99.99402	0.999967	99.98495	99.99573	99.98317	99.99199	
map	1	99.99402	0.999976	99.98495	99.99573	99.98371	99.99200	
manuela	1	99.99329	0.999964	99.98495	99.99573	99.98184	99.99153	
manu	1	99.99329	0.999973	99.98495	99.99573	99.97847	99.99152	
mantra	1	99.99329	0.999967	99.98495	99.99573	99.98214	99.99232	
manstein	1	99.99544	0.999971	99.98495	99.99573	99.98292	99.99263	
mannheim.	1	99.99544	0.999964	99.98495	99.99573	99.97488	99.99254	
mannheim	1	99.99751	0.999976	99.98495	99.99573	99.98495	99.99573	
männerherzen	1	99.99329	0.999949	99.98495	99.99573	99.98393	99.99162	
manhattan	1	99.99329	0.999958	99.98495	99.99573	99.98273	99.99110	
maneuvered	1	99.99329	0.999955	99.98495	99.99573	99.98172	99.99185	
manel	1	99.99329	0.999970	99.98495	99.99573	99.97360	99.99155	
mandatory	1	99.99329	0.999958	99.98495	99.99573	99.97967	99.99152	
manages	1	99.99329	0.999964	99.98495	99.99573	99.97894	99.99157	
managers	1	99.99402	0.999961	99.98495	99.99573	99.97792	99.99206	
making	1	99.99329	0.999967	99.98495	99.99573	99.98237	99.99152	
maker	1	99.99329	0.999975	99.98495	99.99573	99.98343	99.99179	
manage	1	99.99329	0.999967	99.98495	99.99573	99.98060	99.99124	
maintained	1	99.99329	0.999955	99.98495	99.99573	99.98232	99.99154	
mainly	1	99.99329	0.999968	99.98495	99.99573	99.98175	99.99194	
maike	1	99.99751	0.999985	99.98495	99.99573	99.98495	99.99573	
mail	1	99.99329	0.999973	99.98495	99.99573	99.98037	99.99161	
maik	1	99.99329	0.999973	99.98495	99.99573	99.98285	99.99149	
magnificent	1	99.99329	0.999952	99.98495	99.99573	99.98304	99.99273	
magical	1	99.99329	0.999964	99.98495	99.99573	99.98109	99.99153	
magician	1	99.99329	0.999961	99.98495	99.99573	99.97596	99.99146	
magic	1	99.99329	0.999970	99.98495	99.99573	99.98149	99.99089	
maderthaner	1	99.99544	0.999952	99.98495	99.99573	99.98278	99.99348	
macron	1	99.99329	0.999967	99.98495	99.99573	99.98130	99.99240	
macedonians	1	99.99751	0.999967	99.98495	99.99573	99.98495	99.99573	
macedonian	1	99.99329	0.999955	99.98495	99.99573	99.97861	99.99186	
lyrics	1	99.99544	0.999977	99.98495	99.99573	99.98436	99.99242	
lyon	1	99.99544	0.999973	99.98495	99.99573	99.97797	99.99260	
lying	1	99.99329	0.999970	99.98495	99.99573	99.97909	99.99181	
